zip,primary_city,state,county, 
68418,Palmyra,NE,Otoe County,402
68420,Pawnee City,NE,Pawnee County,402
68421,Peru,NE,Nemaha County,402
68422,Pickrell,NE,Gage County,402
68423,Pleasant Dale,NE,Seward County,402
68424,Plymouth,NE,Jefferson County,402
68428,Raymond,NE,Lancaster County,402
68429,Reynolds,NE,Jefferson County,402
68430,Roca,NE,Lancaster County,402
68431,Rulo,NE,Richardson County,402
68433,Salem,NE,Richardson County,402
68434,Seward,NE,Seward County,402
68436,Shickley,NE,Fillmore County,402
68437,Shubert,NE,Richardson County,402
68439,Staplehurst,NE,Seward County,402
68440,Steele City,NE,Jefferson County,402
68441,Steinauer,NE,Pawnee County,402
68442,Stella,NE,Richardson County,402
68443,Sterling,NE,Johnson County,402
68444,Strang,NE,Fillmore County,402
68445,Swanton,NE,Saline County,402
68446,Syracuse,NE,Otoe County,402
68447,Table Rock,NE,Pawnee County,402
68448,Talmage,NE,Otoe County,402
68450,Tecumseh,NE,Johnson County,402
68452,Ong,NE,Clay County,402
68453,Tobias,NE,Saline County,402
68454,Unadilla,NE,Otoe County,402
68455,Union,NE,Cass County,402
68456,Utica,NE,Seward County,402
68457,Verdon,NE,Richardson County,402
68458,Virginia,NE,Gage County,402
68460,Waco,NE,York County,402
68461,Walton,NE,Lancaster County,402
68462,Waverly,NE,Lancaster County,402
68463,Weeping Water,NE,Cass County,402
68464,Western,NE,Saline County,402
68465,Wilber,NE,Saline County,402
68466,Wymore,NE,Gage County,402
68467,York,NE,York County,402
68502,Lincoln,NE,Lancaster County,402
68503,Lincoln,NE,Lancaster County,402
68504,Lincoln,NE,Lancaster County,402
68505,Lincoln,NE,Lancaster County,402
68506,Lincoln,NE,Lancaster County,402
68507,Lincoln,NE,Lancaster County,402
68508,Lincoln,NE,Lancaster County,402
68510,Lincoln,NE,Lancaster County,402
68512,Lincoln,NE,Lancaster County,402
68514,Lincoln,NE,Lancaster County,402
68516,Lincoln,NE,Lancaster County,402
68517,Lincoln,NE,Lancaster County,402
68520,Lincoln,NE,Lancaster County,402
68521,Lincoln,NE,Lancaster County,402
68522,Lincoln,NE,Lancaster County,402
